Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Jesus Aguilar,Mateus Mendonca,"February 24, 2024",1,Decision - Split,TIME: 5:00,0,0,52%,45%,38 of 62,43 of 90,1 of 4,4 of 8,25%,50%,1,1,1,0,4:51,8:44,10 of 24,15 of 35,4 of 4,3 of 4,5 of 8,0 of 1,11 of 21,7 of 21,4 of 5,2 of 2,4 of 10,9 of 17
Edgar Chairez,Daniel Lacerda,"February 24, 2024",1,Submission,TIME: 2:17,0,0,60%,23%,9 of 15,7 of 22,0 of 0,1 of 1,---,100%,1,0,0,0,0:00,0:41,3 of 7,2 of 9,2 of 4,2 of 7,4 of 4,0 of 1,8 of 14,2 of 12,0 of 0,0 of 0,1 of 1,2 of 5
Claudio Puelles,Fares Ziam,"February 24, 2024",1,Decision - Split,TIME: 5:00,0,0,44%,64%,17 of 27,58 of 82,7 of 13,0 of 0,53%,---,0,1,0,2,7:14,4:30,1 of 5,23 of 38,3 of 4,6 of 7,0 of 0,2 of 3,3 of 8,5 of 15,1 of 1,2 of 3,0 of 0,24 of 30
Ronaldo Rodriguez,Denys Bondar,"February 24, 2024",1,Submission,TIME: 4:59,0,0,44%,65%,50 of 93,46 of 77,0 of 0,4 of 6,---,66%,1,0,3,1,2:56,2:52,19 of 55,22 of 39,7 of 9,8 of 13,5 of 5,11 of 11,13 of 43,32 of 51,5 of 7,3 of 4,13 of 19,6 of 8
Victor Altamirano,Felipe dos Santos,"February 24, 2024",1,Decision - Split,TIME: 5:00,0,0,54%,42%,52 of 97,62 of 120,9 of 11,0 of 0,81%,---,0,1,0,0,5:02,0:51,7 of 33,24 of 66,23 of 31,8 of 16,10 of 10,5 of 5,29 of 62,31 of 73,10 of 10,5 of 11,1 of 2,1 of 3
Erik Silva,Muhammad Naimov,"February 24, 2024",1,KO/TKO,TIME: 0:44,0,0,0%,50%,0 of 1,3 of 4,0 of 0,1 of 1,---,100%,0,0,0,0,0:13,0:11,0 of 0,1 of 2,0 of 0,0 of 0,0 of 1,0 of 0,0 of 1,1 of 2,0 of 0,0 of 0,0 of 0,0 of 0
Alexander Volkanovski,Ilia Topuria,"February 17, 2024",1,KO/TKO,TIME: 3:32,0,1,43%,45%,47 of 107,36 of 78,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,21 of 68,17 of 53,11 of 22,12 of 16,15 of 17,6 of 8,44 of 102,28 of 70,3 of 5,4 of 4,0 of 0,3 of 3
Robert Whittaker,Paulo Costa,"February 17, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,54%,44%,95 of 175,67 of 151,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,63 of 143,39 of 117,4 of 4,8 of 12,28 of 28,20 of 22,95 of 172,67 of 151,0 of 3,0 of 0,0 of 0,0 of 0
Geoff Neal,Ian Machado Garry,"February 17, 2024",1,Decision - Split,TIME: 5:00,0,0,51%,49%,57 of 102,80 of 148,0 of 0,0 of 0,---,---,0,0,0,0,3:45,0:12,25 of 64,39 of 96,10 of 13,18 of 27,11 of 12,10 of 12,38 of 79,65 of 133,8 of 10,2 of 2,0 of 0,0 of 0
Merab Dvalishvili,Henry Cejudo,"February 17, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,43%,37%,167 of 273,54 of 106,5 of 11,1 of 7,45%,14%,1,0,0,0,4:23,2:05,44 of 128,13 of 54,20 of 34,5 of 11,10 of 10,11 of 13,51 of 134,24 of 68,13 of 24,5 of 10,10 of 14,0 of 0
Anthony Hernandez,Roman Kopylov,"February 17, 2024",1,Submission,TIME: 3:23,0,0,44%,61%,39 of 82,41 of 63,3 of 14,0 of 0,21%,---,2,0,0,0,4:05,0:00,28 of 68,21 of 43,4 of 6,8 of 8,2 of 3,6 of 6,24 of 65,34 of 56,8 of 10,1 of 1,2 of 2,0 of 0
Amanda Lemos,Mackenzie Dern,"February 17, 2024",1,Decision - Unanimous,TIME: 5:00,1,0,51%,38%,47 of 86,50 of 85,2 of 2,1 of 3,100%,33%,0,0,0,2,4:02,6:00,26 of 62,21 of 51,8 of 10,0 of 2,7 of 8,0 of 1,24 of 56,13 of 42,1 of 2,0 of 1,16 of 22,8 of 11
Marcos Rogerio de Lima,Junior Tafa,"February 17, 2024",1,KO/TKO,TIME: 1:14,1,0,71%,40%,63 of 78,17 of 33,1 of 3,0 of 0,33%,---,0,0,0,0,3:26,0:00,19 of 31,9 of 24,2 of 2,1 of 2,12 of 13,1 of 1,22 of 32,10 of 26,1 of 1,0 of 0,10 of 13,1 of 1
Rinya Nakamura,Carlos Vera,"February 17, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,54%,48%,73 of 114,55 of 79,3 of 3,0 of 0,100%,---,0,0,0,0,13:03,0:00,30 of 61,7 of 19,6 of 7,1 of 2,2 of 2,4 of 4,7 of 9,6 of 15,1 of 1,1 of 2,30 of 60,5 of 8
Zhang Mingyang,Brendson Ribeiro,"February 17, 2024",1,KO/TKO,TIME: 1:41,1,0,60%,45%,17 of 28,14 of 31,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,13 of 19,14 of 31,2 of 5,0 of 0,2 of 4,0 of 0,14 of 25,14 of 31,0 of 0,0 of 0,3 of 3,0 of 0
Josh Quinlan,Danny Barlow,"February 17, 2024",1,KO/TKO,TIME: 1:18,0,1,43%,51%,39 of 90,96 of 186,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:13,22 of 68,77 of 161,14 of 18,13 of 18,3 of 4,5 of 6,39 of 90,88 of 175,0 of 0,1 of 2,0 of 0,6 of 8
Oban Elliott,Val Woodburn,"February 17, 2024",1,Decision - Unanimous,TIME: 5:00,0,1,63%,37%,136 of 188,30 of 70,3 of 5,2 of 2,60%,100%,0,0,0,1,8:58,1:56,60 of 96,19 of 55,7 of 11,2 of 4,3 of 4,2 of 2,33 of 65,15 of 46,3 of 3,5 of 10,34 of 43,3 of 5
Andrea Lee,Miranda Maverick,"February 17, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,35%,48%,59 of 126,106 of 180,2 of 3,3 of 8,66%,37%,1,0,0,0,0:42,3:05,14 of 72,28 of 89,13 of 19,16 of 25,9 of 11,22 of 22,32 of 96,60 of 128,3 of 3,6 of 8,1 of 3,0 of 0
Jack Hermansson,Joe Pyfer,"February 10, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,51%,36%,188 of 327,95 of 254,1 of 2,0 of 6,50%,0%,0,0,0,0,3:08,0:50,74 of 174,56 of 196,15 of 23,25 of 34,32 of 38,11 of 20,111 of 219,92 of 250,5 of 6,0 of 0,5 of 10,0 of 0
Dan Ige,Andre Fili,"February 10, 2024",1,KO/TKO,TIME: 2:43,1,0,57%,24%,11 of 19,8 of 33,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,4 of 11,7 of 28,2 of 3,1 of 5,5 of 5,0 of 0,10 of 18,8 of 33,0 of 0,0 of 0,1 of 1,0 of 0
Robert Bryczek,Ihor Potieria,"February 10, 2024",1,Decision - Unanimous,TIME: 5:00,0,1,24%,39%,41 of 143,77 of 181,0 of 0,0 of 4,---,0%,0,0,0,0,0:30,2:37,19 of 103,47 of 139,10 of 24,5 of 12,3 of 6,15 of 17,30 of 127,61 of 156,2 of 6,6 of 12,0 of 0,0 of 0
Brad Tavares,Gregory Rodrigues,"February 10, 2024",1,KO/TKO,TIME: 0:55,0,0,44%,57%,42 of 90,79 of 135,0 of 0,2 of 6,---,33%,0,0,0,0,0:00,3:18,28 of 70,53 of 102,4 of 9,8 of 9,5 of 5,10 of 12,36 of 83,64 of 114,1 of 1,7 of 9,0 of 0,0 of 0
Michael Johnson,Darrius Flowers,"February 10, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,54%,51%,80 of 138,52 of 86,4 of 8,0 of 2,50%,0%,0,0,0,0,6:02,0:43,16 of 47,10 of 31,36 of 52,9 of 12,9 of 13,14 of 21,58 of 109,29 of 60,0 of 0,1 of 1,3 of 3,3 of 3
Rodolfo Vieira,Armen Petrosyan,"February 10, 2024",1,Submission,TIME: 4:48,0,0,54%,45%,14 of 21,14 of 25,3 of 3,0 of 0,100%,---,1,0,0,0,2:46,0:00,4 of 6,1 of 10,0 of 2,1 of 3,2 of 3,7 of 7,6 of 11,9 of 20,0 of 0,0 of 0,0 of 0,0 of 0
Trevin Giles,Carlos Prates,"February 10, 2024",1,KO/TKO,TIME: 4:03,0,1,66%,51%,70 of 105,38 of 73,0 of 2,0 of 0,0%,---,0,0,0,0,1:28,0:00,25 of 51,3 of 24,2 of 2,18 of 26,41 of 49,16 of 22,67 of 100,37 of 72,1 of 2,0 of 0,0 of 0,0 of 0
Bolaji Oki,Timmy Cuamba,"February 10, 2024",1,Decision - Split,TIME: 5:00,0,0,39%,35%,61 of 157,35 of 96,1 of 1,1 of 6,100%,16%,0,0,0,0,1:49,1:55,51 of 139,20 of 67,5 of 8,8 of 14,4 of 5,5 of 13,58 of 145,26 of 86,1 of 4,5 of 6,1 of 3,2 of 2
Loma Lookboonmee,Bruna Brasil,"February 10, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,51%,44%,73 of 131,52 of 99,1 of 2,1 of 2,50%,50%,0,0,0,0,0:55,2:29,15 of 52,9 of 39,29 of 38,12 of 16,14 of 22,7 of 8,47 of 98,22 of 55,11 of 14,6 of 8,0 of 0,0 of 0
Devin Clark,Marcin Prachnio,"February 10, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,41%,53%,53 of 127,112 of 204,0 of 2,1 of 1,0%,100%,0,0,0,0,0:14,0:44,36 of 106,42 of 113,13 of 16,37 of 51,4 of 5,22 of 25,49 of 120,78 of 156,4 of 7,23 of 33,0 of 0,0 of 0
Max Griffin,Jeremiah Wells,"February 10, 2024",1,Decision - Split,TIME: 5:00,0,0,49%,37%,36 of 65,43 of 97,1 of 2,1 of 2,50%,50%,0,0,0,0,1:40,1:40,21 of 48,27 of 76,4 of 4,5 of 7,1 of 1,0 of 3,24 of 51,32 of 85,2 of 2,0 of 1,0 of 0,0 of 0
Zac Pauga,Bogdan Guskov,"February 10, 2024",1,KO/TKO,TIME: 3:38,0,1,65%,34%,19 of 28,25 of 44,0 of 2,0 of 0,0%,---,0,0,0,0,1:04,0:04,7 of 13,10 of 29,2 of 5,0 of 0,8 of 8,0 of 0,14 of 22,10 of 29,3 of 4,0 of 0,0 of 0,0 of 0
Fernie Garcia,Hyder Amil,"February 10, 2024",1,KO/TKO,TIME: 2:12,0,1,32%,54%,31 of 87,109 of 194,0 of 0,1 of 3,---,33%,0,2,1,1,0:56,2:20,22 of 75,60 of 121,3 of 3,14 of 17,1 of 1,5 of 6,25 of 78,58 of 109,1 of 1,3 of 9,0 of 0,18 of 26
Daniel Marcos,Aoriqileng,"February 10, 2024",1,Could Not Continue,TIME: 3:28,0,0,64%,47%,84 of 129,45 of 96,0 of 0,0 of 0,---,---,0,0,0,0,0:28,0:38,50 of 84,26 of 71,12 of 19,10 of 12,19 of 23,9 of 12,69 of 113,43 of 93,5 of 6,2 of 2,7 of 7,0 of 0
Roman Dolidze,Nassourdine Imavov,"February 03, 2024",1,Decision - Majority,TIME: 5:00,0,1,22%,59%,59 of 190,154 of 248,0 of 4,0 of 0,0%,---,0,1,1,0,10:11,3:52,14 of 113,71 of 132,8 of 13,24 of 38,12 of 26,17 of 19,32 of 145,67 of 129,2 of 7,13 of 16,0 of 0,32 of 44
Renato Moicano,Drew Dober,"February 03, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,54%,38%,142 of 177,36 of 73,3 of 6,1 of 2,50%,50%,0,0,0,0,10:33,1:02,20 of 39,17 of 50,2 of 2,4 of 7,1 of 1,2 of 2,10 of 27,19 of 52,1 of 2,1 of 1,12 of 13,3 of 6
Randy Brown,Muslim Salikhov,"February 03, 2024",1,KO/TKO,TIME: 3:17,1,0,28%,45%,13 of 46,10 of 22,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,6 of 33,0 of 9,1 of 5,1 of 2,6 of 8,9 of 11,12 of 45,10 of 22,0 of 0,0 of 0,1 of 1,0 of 0
Viviane Araujo,Natalia Silva,"February 03, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,38%,29%,63 of 110,65 of 157,1 of 9,0 of 1,11%,0%,0,0,0,0,6:01,0:00,20 of 58,24 of 103,1 of 3,8 of 16,5 of 6,6 of 9,25 of 66,38 of 128,1 of 1,0 of 0,0 of 0,0 of 0
Aliaskhab Khizriev,Makhmud Muradov,"February 03, 2024",1,Could Not Continue,TIME: 0:11,0,0,50%,100%,1 of 2,1 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0 of 1,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0
Gilbert Urbina,Charles Radtke,"February 03, 2024",1,KO/TKO,TIME: 4:47,0,2,42%,63%,16 of 38,33 of 51,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:08,4 of 17,23 of 40,6 of 10,0 of 0,6 of 11,7 of 7,16 of 38,27 of 43,0 of 0,0 of 0,0 of 0,3 of 4
Molly McCann,Diana Belbita,"February 03, 2024",1,Submission,TIME: 4:59,0,0,46%,37%,43 of 92,29 of 77,2 of 2,0 of 0,100%,---,1,0,0,0,1:08,0:00,27 of 71,9 of 46,14 of 19,13 of 23,1 of 1,7 of 8,34 of 76,24 of 72,2 of 4,5 of 5,6 of 11,0 of 0
Azat Maksum,Charles Johnson,"February 03, 2024",1,Decision - Unanimous,TIME: 5:00,1,0,23%,54%,40 of 166,81 of 149,2 of 7,2 of 6,28%,33%,1,3,1,0,2:29,0:47,25 of 142,29 of 76,6 of 11,20 of 27,7 of 10,27 of 37,36 of 160,66 of 127,2 of 3,7 of 9,0 of 0,3 of 4
Themba Gorimbo,Pete Rodriguez,"February 03, 2024",1,KO/TKO,TIME: 0:32,1,0,66%,0%,12 of 18,0 of 5,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:00,10 of 16,0 of 3,1 of 1,0 of 1,1 of 1,0 of 1,3 of 6,0 of 5,2 of 2,0 of 0,7 of 10,0 of 0
JeongYeong Lee,Blake Bilder,"February 03, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,59%,35%,75 of 121,36 of 77,2 of 3,0 of 3,66%,0%,0,0,0,0,4:29,5:18,33 of 62,3 of 27,14 of 18,2 of 5,2 of 2,14 of 22,21 of 40,8 of 40,11 of 11,10 of 13,17 of 31,1 of 1
Luana Carolina,Julija Stoliarenko,"February 03, 2024",1,KO/TKO,TIME: 4:52,0,0,48%,27%,138 of 230,21 of 68,2 of 3,1 of 5,66%,20%,0,3,0,0,5:27,3:47,41 of 96,7 of 40,15 of 26,6 of 10,10 of 14,3 of 9,28 of 75,11 of 51,13 of 20,5 of 8,25 of 41,0 of 0
Landon Quinones,MarQuel Mederos,"February 03, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,36%,41%,78 of 176,74 of 165,1 of 3,0 of 5,33%,0%,0,0,0,0,2:04,4:13,41 of 115,28 of 103,11 of 26,18 of 26,3 of 8,14 of 17,54 of 145,55 of 141,1 of 4,5 of 5,0 of 0,0 of 0
Thomas Petersen,Jamal Pogues,"February 03, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,67%,52%,116 of 153,66 of 125,1 of 6,0 of 0,16%,---,0,0,0,0,2:47,0:04,26 of 50,43 of 94,30 of 34,15 of 23,2 of 2,7 of 7,54 of 81,56 of 111,4 of 5,9 of 13,0 of 0,0 of 0
Sean Strickland,Dricus Du Plessis,"January 20, 2024",1,Decision - Split,TIME: 5:00,0,0,42%,38%,183 of 419,140 of 358,0 of 0,6 of 11,---,54%,0,0,0,0,0:00,2:08,157 of 387,81 of 283,10 of 15,32 of 37,6 of 6,24 of 34,173 of 408,134 of 348,0 of 0,3 of 5,0 of 0,0 of 1
Raquel Pennington,Mayra Bueno Silva,"January 20, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,66%,78%,265 of 342,96 of 118,1 of 3,3 of 9,33%,33%,2,3,2,0,11:28,8:58,91 of 156,32 of 44,32 of 34,26 of 30,11 of 11,11 of 14,54 of 110,28 of 45,38 of 43,38 of 40,42 of 48,3 of 3
Neil Magny,Mike Malott,"January 20, 2024",1,KO/TKO,TIME: 4:45,0,0,55%,67%,110 of 159,100 of 128,1 of 2,4 of 6,50%,66%,0,0,0,0,1:47,6:02,52 of 95,19 of 40,3 of 3,4 of 4,2 of 4,22 of 23,13 of 44,30 of 49,0 of 2,0 of 0,44 of 56,15 of 18
Chris Curtis,Marc-Andre Barriault,"January 20, 2024",1,Decision - Split,TIME: 5:00,0,0,54%,50%,144 of 262,124 of 245,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,101 of 210,77 of 189,35 of 44,33 of 42,4 of 4,12 of 12,116 of 230,105 of 218,24 of 28,17 of 25,0 of 0,0 of 0
Arnold Allen,Movsar Evloev,"January 20, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,42%,43%,61 of 143,72 of 141,0 of 0,5 of 17,---,29%,1,0,0,0,0:03,3:31,41 of 115,35 of 101,17 of 24,12 of 13,1 of 1,4 of 4,46 of 124,45 of 110,9 of 12,5 of 7,4 of 4,1 of 1
Brad Katona,Garrett Armfield,"January 20, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,41%,62%,76 of 172,130 of 193,4 of 9,0 of 1,44%,0%,0,0,0,0,4:35,0:00,49 of 138,74 of 131,8 of 9,21 of 27,7 of 8,10 of 10,46 of 126,99 of 162,17 of 28,6 of 6,1 of 1,0 of 0
Charles Jourdain,Sean Woodson,"January 20, 2024",1,Decision - Split,TIME: 5:00,0,0,38%,47%,78 of 175,102 of 193,0 of 4,1 of 3,0%,33%,1,0,0,0,1:58,0:39,19 of 98,59 of 143,20 of 32,10 of 13,21 of 26,11 of 12,52 of 147,70 of 156,8 of 9,8 of 9,0 of 0,2 of 3
Serhiy Sidey,Ramon Taveras,"January 20, 2024",1,Decision - Split,TIME: 5:00,0,1,34%,42%,81 of 229,62 of 148,0 of 4,0 of 0,0%,---,0,0,0,0,0:24,0:06,51 of 181,48 of 131,20 of 36,8 of 10,8 of 9,6 of 6,73 of 218,60 of 144,6 of 8,1 of 1,0 of 0,1 of 2
Gillian Robertson,Polyana Viana,"January 20, 2024",1,KO/TKO,TIME: 3:12,0,0,58%,29%,49 of 91,33 of 66,2 of 2,0 of 0,100%,---,1,0,0,0,6:06,0:27,20 of 35,10 of 37,0 of 0,2 of 3,3 of 4,0 of 1,5 of 13,9 of 37,0 of 0,0 of 0,18 of 26,3 of 4
Yohan Lainesse,Sam Patterson,"January 20, 2024",1,Submission,TIME: 2:03,0,0,11%,50%,1 of 9,5 of 10,0 of 0,1 of 1,---,100%,0,1,0,0,0:05,0:41,1 of 8,5 of 10,0 of 0,0 of 0,0 of 1,0 of 0,1 of 9,5 of 10,0 of 0,0 of 0,0 of 0,0 of 0
Jasmine Jasudavicius,Priscila Cachoeira,"January 20, 2024",1,Submission,TIME: 4:21,1,0,77%,48%,326 of 398,26 of 52,2 of 5,0 of 0,40%,---,3,0,0,0,11:25,0:05,84 of 109,19 of 44,6 of 8,3 of 4,3 of 3,2 of 2,23 of 34,20 of 45,2 of 3,0 of 0,68 of 83,4 of 5
Malcolm Gordon,Jimmy Flick,"January 20, 2024",1,Submission,TIME: 1:17,0,0,52%,42%,74 of 116,7 of 11,1 of 1,1 of 4,100%,25%,1,4,0,0,4:13,1:07,35 of 67,2 of 5,2 of 3,0 of 1,0 of 0,1 of 1,18 of 41,3 of 7,5 of 5,0 of 0,14 of 24,0 of 0
Magomed Ankalaev,Johnny Walker,"January 13, 2024",1,KO/TKO,TIME: 2:42,1,0,67%,33%,39 of 58,26 of 73,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,8 of 22,2 of 34,6 of 7,3 of 6,25 of 29,19 of 31,38 of 57,24 of 71,0 of 0,0 of 0,1 of 1,0 of 0
Jim Miller,Gabriel Benitez,"January 13, 2024",1,Submission,TIME: 3:25,0,0,57%,43%,96 of 157,84 of 188,2 of 2,0 of 0,100%,---,1,0,0,0,3:55,0:01,50 of 108,51 of 145,10 of 12,13 of 21,20 of 20,16 of 16,67 of 125,79 of 181,5 of 7,1 of 1,8 of 8,0 of 0
Ricky Simon,Mario Bautista,"January 13, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,41%,41%,52 of 115,118 of 276,2 of 13,0 of 3,15%,0%,0,0,0,0,3:00,0:14,33 of 95,76 of 219,4 of 4,31 of 42,8 of 9,5 of 9,44 of 106,110 of 266,1 of 2,2 of 3,0 of 0,0 of 1
Phil Hawes,Brunno Ferreira,"January 13, 2024",1,KO/TKO,TIME: 4:55,0,1,48%,44%,13 of 28,24 of 49,0 of 1,1 of 4,0%,25%,0,0,0,0,0:00,1:37,8 of 18,18 of 38,4 of 7,0 of 4,1 of 2,1 of 1,12 of 24,15 of 33,1 of 3,0 of 3,0 of 0,4 of 7
Andrei Arlovski,Waldo Cortes-Acosta,"January 13, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,45%,36%,58 of 127,50 of 137,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,13 of 63,24 of 97,22 of 40,11 of 19,23 of 24,14 of 20,58 of 127,46 of 131,0 of 0,3 of 5,0 of 0,0 of 0
Matthew Semelsberger,Preston Parsons,"January 13, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,40%,54%,33 of 77,116 of 165,1 of 2,7 of 11,50%,63%,2,2,0,1,3:08,6:26,18 of 55,25 of 62,4 of 8,9 of 11,6 of 6,13 of 14,23 of 60,25 of 59,3 of 7,11 of 13,2 of 2,11 of 15
Marcus McGhee,Gaston Bolanos,"January 13, 2024",1,KO/TKO,TIME: 3:29,1,0,52%,34%,74 of 134,28 of 82,1 of 3,0 of 0,33%,---,0,0,0,0,1:47,0:04,57 of 114,14 of 57,7 of 8,7 of 14,1 of 1,7 of 10,52 of 108,28 of 81,3 of 4,0 of 0,10 of 11,0 of 0
Farid Basharat,Taylor Lapilus,"January 13, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,42%,43%,55 of 116,41 of 94,5 of 16,0 of 0,31%,---,1,0,0,0,6:58,0:02,14 of 53,24 of 67,7 of 19,11 of 16,21 of 28,5 of 10,39 of 92,34 of 86,2 of 5,2 of 3,1 of 3,4 of 4
Westin Wilson,Jean Silva,"January 13, 2024",1,KO/TKO,TIME: 4:12,0,1,30%,69%,11 of 36,25 of 36,0 of 3,1 of 1,0%,100%,0,0,0,0,0:04,0:08,8 of 28,24 of 32,0 of 5,1 of 4,3 of 3,0 of 0,11 of 35,23 of 34,0 of 1,2 of 2,0 of 0,0 of 0
Nikolas Motta,Tom Nolan,"January 13, 2024",1,KO/TKO,TIME: 1:03,1,0,52%,60%,21 of 40,12 of 20,0 of 0,0 of 0,---,---,0,0,0,0,0:09,0:00,19 of 35,5 of 13,2 of 5,5 of 5,0 of 0,2 of 2,8 of 19,11 of 18,0 of 1,1 of 2,13 of 20,0 of 0
Joshua Van,Felipe Bunes,"January 13, 2024",1,KO/TKO,TIME: 4:31,1,0,58%,54%,154 of 222,57 of 101,1 of 1,2 of 6,100%,33%,0,0,0,0,1:14,2:02,63 of 116,29 of 64,15 of 19,11 of 16,5 of 6,10 of 11,61 of 115,49 of 90,9 of 11,1 of 1,13 of 15,0 of 0
Leon Edwards,Colby Covington,"December 16, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,52%,34%,65 of 116,109 of 194,2 of 3,2 of 10,66%,20%,2,0,1,0,1:27,5:04,21 of 62,20 of 86,14 of 21,7 of 12,22 of 25,17 of 28,56 of 107,44 of 125,0 of 0,0 of 1,1 of 1,0 of 0
Alexandre Pantoja,Brandon Royval,"December 16, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,60%,54%,126 of 195,281 of 390,8 of 14,0 of 1,57%,0%,1,0,0,2,15:51,0:47,49 of 101,102 of 193,22 of 30,7 of 9,24 of 25,2 of 2,74 of 130,91 of 177,5 of 6,5 of 6,16 of 20,15 of 21
Shavkat Rakhmonov,Stephen Thompson,"December 16, 2023",1,Submission,TIME: 4:56,0,0,77%,64%,73 of 88,26 of 37,1 of 5,0 of 0,20%,---,2,0,0,0,7:45,0:00,24 of 31,6 of 15,4 of 5,7 of 7,0 of 0,3 of 3,5 of 8,13 of 22,10 of 15,1 of 1,13 of 13,2 of 2
Tony Ferguson,Paddy Pimblett,"December 16, 2023",1,Decision - Unanimous,TIME: 5:00,0,1,59%,64%,90 of 134,151 of 217,0 of 0,1 of 4,---,25%,0,0,0,0,0:00,8:53,35 of 66,73 of 127,23 of 35,13 of 17,4 of 4,20 of 21,51 of 91,66 of 109,0 of 0,0 of 0,11 of 14,40 of 56
Josh Emmett,Bryce Mitchell,"December 16, 2023",1,KO/TKO,TIME: 1:57,1,0,20%,0%,2 of 10,0 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,1 of 4,0 of 1,1 of 5,0 of 0,0 of 1,0 of 2,2 of 10,0 of 3,0 of 0,0 of 0,0 of 0,0 of 0
Alonzo Menifield,Dustin Jacoby,"December 16, 2023",1,Decision - Unanimous,TIME: 5:00,1,0,58%,62%,95 of 145,113 of 171,1 of 2,0 of 0,50%,---,0,0,0,0,2:03,2:08,58 of 104,69 of 122,2 of 4,15 of 18,8 of 9,9 of 10,51 of 94,78 of 135,14 of 20,15 of 15,3 of 3,0 of 0
Irene Aldana,Karol Rosa,"December 16, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,47%,58%,145 of 308,204 of 350,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:00,122 of 276,103 of 237,20 of 28,6 of 11,3 of 4,95 of 102,145 of 308,204 of 349,0 of 0,0 of 1,0 of 0,0 of 0
Cody Garbrandt,Brian Kelleher,"December 16, 2023",1,KO/TKO,TIME: 3:42,1,0,48%,68%,21 of 42,21 of 29,0 of 0,0 of 1,---,0%,0,0,0,0,0:19,0:36,16 of 37,9 of 13,2 of 2,1 of 3,2 of 2,7 of 9,16 of 35,17 of 24,4 of 6,0 of 1,0 of 0,0 of 0
Casey O'Neill,Ariane da Silva,"December 16, 2023",1,Submission,TIME: 1:18,0,0,41%,50%,32 of 75,86 of 152,0 of 2,1 of 1,0%,100%,0,1,0,0,0:20,0:58,17 of 57,45 of 106,3 of 3,16 of 18,11 of 14,3 of 3,29 of 72,37 of 95,2 of 2,9 of 11,0 of 0,18 of 21
Tagir Ulanbekov,Cody Durden,"December 16, 2023",1,Submission,TIME: 4:25,1,0,58%,74%,45 of 63,55 of 67,2 of 2,0 of 0,100%,---,5,0,1,0,6:03,0:36,19 of 35,22 of 31,4 of 5,3 of 3,1 of 1,7 of 9,15 of 32,24 of 34,5 of 5,3 of 4,4 of 4,5 of 5
Andre Fili,Lucas Almeida,"December 16, 2023",1,KO/TKO,TIME: 3:32,1,0,55%,40%,25 of 42,10 of 25,0 of 0,0 of 0,---,---,0,0,0,0,0:15,0:00,16 of 29,1 of 11,3 of 6,0 of 1,1 of 1,9 of 13,8 of 21,10 of 25,0 of 0,0 of 0,12 of 15,0 of 0
