Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Chase Hooper,Nick Fiore,"June 03, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,60%,56%,217 of 340,58 of 98,1 of 10,4 of 8,10%,50%,1,0,1,0,3:54,4:47,110 of 203,49 of 88,31 of 34,1 of 1,8 of 8,1 of 1,97 of 160,34 of 66,42 of 73,11 of 17,10 of 12,6 of 7
Natalia Silva,Victoria Leonardo,"June 03, 2023",1,KO/TKO,TIME: 2:58,1,0,44%,38%,21 of 46,7 of 18,0 of 0,0 of 1,---,0%,0,0,0,0,0:16,0:00,16 of 41,6 of 14,2 of 2,0 of 3,2 of 2,1 of 1,20 of 44,7 of 18,0 of 0,0 of 0,0 of 1,0 of 0
Takashi Sato,Themba Gorimbo,"June 03, 2023",1,Decision - Unanimous,TIME: 5:00,0,1,63%,58%,56 of 76,110 of 158,2 of 6,3 of 8,33%,37%,0,0,1,2,2:21,11:15,21 of 37,21 of 41,9 of 10,12 of 15,0 of 0,0 of 0,5 of 16,12 of 25,15 of 16,9 of 12,10 of 15,12 of 19
Jairzinho Rozenstruik,Jailton Almeida,"May 20, 2023",1,Submission,TIME: 3:43,0,0,0%,57%,3 of 6,14 of 19,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,3:09,0 of 2,3 of 5,0 of 0,1 of 2,0 of 0,0 of 0,0 of 2,0 of 2,0 of 0,0 of 0,0 of 0,4 of 5
Anthony Smith,Johnny Walker,"May 20, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,41%,47%,41 of 95,99 of 204,1 of 3,1 of 1,33%,100%,0,0,0,0,1:22,0:32,19 of 64,32 of 117,10 of 17,9 of 19,9 of 11,51 of 56,38 of 91,81 of 178,0 of 1,6 of 8,0 of 0,5 of 6
Daniel Rodriguez,Ian Machado Garry,"May 20, 2023",1,KO/TKO,TIME: 2:57,0,1,28%,50%,7 of 25,23 of 46,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:10,2 of 17,19 of 42,2 of 5,4 of 4,3 of 3,0 of 0,7 of 25,12 of 28,0 of 0,0 of 0,0 of 0,11 of 18
Carlos Ulberg,Ihor Potieria,"May 20, 2023",1,KO/TKO,TIME: 2:09,1,0,61%,55%,13 of 21,5 of 9,0 of 0,0 of 1,---,0%,0,0,0,0,0:08,0:00,11 of 18,1 of 4,1 of 1,0 of 0,1 of 2,4 of 5,5 of 11,5 of 9,0 of 0,0 of 0,8 of 10,0 of 0
Tim Means,Alex Morono,"May 20, 2023",1,Submission,TIME: 2:09,0,0,45%,35%,45 of 92,42 of 102,2 of 2,0 of 0,100%,---,0,1,0,0,0:46,0:00,16 of 52,29 of 86,18 of 29,4 of 6,6 of 6,0 of 0,30 of 74,31 of 86,10 of 13,2 of 6,0 of 0,0 of 0
Matt Brown,Court McGee,"May 20, 2023",1,KO/TKO,TIME: 4:09,1,0,73%,25%,22 of 26,17 of 48,0 of 0,1 of 1,---,100%,0,0,0,0,0:02,1:57,2 of 4,2 of 21,3 of 4,2 of 5,6 of 7,4 of 5,10 of 14,6 of 29,1 of 1,2 of 2,0 of 0,0 of 0
Karl Williams,Chase Sherman,"May 20, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,42%,34%,85 of 191,64 of 170,1 of 10,0 of 0,10%,---,0,0,0,0,2:35,0:12,53 of 147,26 of 124,6 of 6,10 of 15,11 of 12,18 of 19,65 of 159,46 of 148,2 of 3,8 of 10,3 of 3,0 of 0
Cody Stamann,Douglas Silva de Andrade,"May 20, 2023",1,Decision - Unanimous,TIME: 5:00,1,0,38%,34%,66 of 152,72 of 189,1 of 5,0 of 1,20%,0%,0,0,0,0,1:59,0:00,40 of 116,17 of 108,9 of 17,23 of 43,5 of 6,21 of 27,49 of 133,60 of 175,0 of 0,1 of 3,5 of 6,0 of 0
Ji Yeon Kim,Mandy Bohm,"May 20, 2023",1,Decision - Split,TIME: 1:55,0,0,27%,54%,32 of 62,25 of 51,0 of 1,2 of 6,0%,33%,1,1,1,1,5:44,4:05,5 of 31,9 of 19,3 of 3,3 of 7,2 of 2,5 of 5,7 of 32,10 of 21,3 of 3,5 of 8,0 of 1,2 of 2
Bryan Battle,Gabe Green,"May 20, 2023",1,KO/TKO,TIME: 0:14,1,0,33%,50%,3 of 9,6 of 12,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,3 of 9,2 of 8,0 of 0,2 of 2,0 of 0,2 of 2,2 of 7,6 of 12,0 of 0,0 of 0,1 of 2,0 of 0
Jessica-Rose Clark,Tainara Lisboa,"May 20, 2023",1,Submission,TIME: 4:20,0,0,43%,50%,28 of 66,97 of 145,1 of 7,1 of 2,14%,50%,0,1,0,0,7:36,2:09,20 of 51,30 of 67,1 of 2,11 of 14,5 of 7,1 of 2,23 of 53,29 of 64,2 of 5,11 of 16,1 of 2,2 of 3
Aljamain Sterling,Henry Cejudo,"May 06, 2023",1,Decision - Split,TIME: 5:00,0,0,64%,56%,186 of 261,143 of 219,4 of 15,3 of 8,26%,37%,0,0,0,0,4:00,5:06,51 of 112,35 of 99,50 of 60,30 of 37,34 of 38,34 of 38,103 of 174,82 of 152,24 of 28,16 of 21,8 of 8,1 of 1
Belal Muhammad,Gilbert Burns,"May 06, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,46%,55%,132 of 283,81 of 147,0 of 0,0 of 4,---,0%,0,0,0,0,0:00,0:00,92 of 241,35 of 96,39 of 41,13 of 16,1 of 1,33 of 35,132 of 283,81 of 147,0 of 0,0 of 0,0 of 0,0 of 0
Jessica Andrade,Yan Xiaonan,"May 06, 2023",1,KO/TKO,TIME: 2:20,0,1,37%,72%,12 of 32,26 of 36,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,5 of 23,12 of 22,3 of 3,5 of 5,4 of 6,9 of 9,12 of 32,23 of 33,0 of 0,0 of 0,0 of 0,3 of 3
Movsar Evloev,Diego Lopes,"May 06, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,68%,53%,183 of 228,48 of 82,4 of 7,0 of 0,57%,---,0,4,0,1,8:30,0:41,76 of 116,29 of 57,3 of 3,4 of 8,9 of 10,4 of 4,45 of 81,27 of 55,11 of 11,3 of 3,32 of 37,7 of 11
Kron Gracie,Charles Jourdain,"May 06, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,56%,47%,171 of 216,175 of 266,0 of 0,0 of 0,---,---,0,0,0,0,0:43,6:48,18 of 37,59 of 145,1 of 6,14 of 16,13 of 14,7 of 7,32 of 57,54 of 138,0 of 0,16 of 20,0 of 0,10 of 10
Drew Dober,Matt Frevola,"May 06, 2023",1,KO/TKO,TIME: 4:08,0,1,33%,46%,20 of 59,39 of 79,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:08,12 of 50,26 of 61,8 of 9,6 of 11,0 of 0,3 of 3,19 of 58,22 of 58,1 of 1,1 of 2,0 of 0,12 of 15
Kennedy Nzechukwu,Devin Clark,"May 06, 2023",1,Submission,TIME: 2:28,0,0,76%,62%,79 of 98,61 of 90,0 of 1,1 of 4,0%,25%,1,0,0,0,3:42,1:04,44 of 63,25 of 46,18 of 18,7 of 8,0 of 0,4 of 4,9 of 17,13 of 28,53 of 64,23 of 30,0 of 0,0 of 0
Khaos Williams,Rolando Bedoya,"May 06, 2023",1,Decision - Split,TIME: 5:00,0,0,45%,71%,131 of 284,150 of 210,0 of 0,0 of 2,---,0%,0,0,0,0,1:13,0:07,68 of 205,103 of 150,29 of 38,15 of 17,33 of 40,31 of 42,126 of 276,136 of 196,4 of 7,13 of 13,0 of 0,0 of 0
Marina Rodriguez,Virna Jandiroba,"May 06, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,53%,62%,115 of 150,91 of 116,0 of 0,3 of 7,---,42%,0,0,0,1,0:05,12:02,27 of 52,25 of 41,5 of 8,1 of 1,1 of 2,1 of 1,10 of 37,7 of 22,3 of 3,5 of 5,20 of 22,15 of 16
Braxton Smith,Parker Porter,"May 06, 2023",1,KO/TKO,TIME: 2:10,0,0,48%,67%,14 of 29,37 of 62,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,0:27,13 of 28,24 of 36,0 of 0,1 of 1,1 of 1,0 of 0,14 of 29,12 of 24,0 of 0,3 of 3,0 of 0,10 of 10
Phil Hawes,Ikram Aliskerov,"May 06, 2023",1,KO/TKO,TIME: 2:10,0,1,60%,60%,17 of 28,20 of 33,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,4 of 14,13 of 24,10 of 11,6 of 8,3 of 3,1 of 1,17 of 28,19 of 31,0 of 0,1 of 2,0 of 0,0 of 0
Joseph Holmes,Claudio Ribeiro,"May 06, 2023",1,KO/TKO,TIME: 3:21,0,1,70%,58%,22 of 29,60 of 91,1 of 2,1 of 1,50%,100%,0,0,0,0,2:30,3:07,4 of 10,34 of 57,3 of 4,0 of 1,10 of 10,3 of 5,13 of 20,10 of 24,4 of 4,1 of 2,0 of 0,26 of 37
Song Yadong,Ricky Simon,"April 29, 2023",1,KO/TKO,TIME: 1:10,2,0,46%,43%,110 of 234,64 of 144,0 of 0,2 of 9,---,22%,0,0,0,0,0:27,0:51,55 of 163,48 of 127,27 of 39,9 of 9,23 of 26,3 of 3,85 of 203,57 of 135,1 of 1,0 of 0,19 of 24,3 of 4
Caio Borralho,Michal Oleksiejczuk,"April 29, 2023",1,Submission,TIME: 2:49,0,0,61%,46%,52 of 74,30 of 65,3 of 6,0 of 1,50%,0%,1,0,0,0,2:39,0:13,19 of 37,13 of 44,10 of 13,17 of 21,5 of 5,0 of 0,18 of 37,26 of 61,5 of 7,4 of 4,11 of 11,0 of 0
Rodolfo Vieira,Cody Brundage,"April 29, 2023",1,Submission,TIME: 1:28,0,1,66%,68%,30 of 37,41 of 51,1 of 7,0 of 0,14%,---,2,1,0,0,4:19,1:04,8 of 12,17 of 26,2 of 2,1 of 1,0 of 1,2 of 2,1 of 5,10 of 18,2 of 2,0 of 0,7 of 8,10 of 11
Julian Erosa,Fernando Padilla,"April 29, 2023",1,KO/TKO,TIME: 1:41,0,1,62%,68%,15 of 24,20 of 29,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:02,9 of 18,17 of 25,1 of 1,2 of 3,5 of 5,1 of 1,15 of 24,19 of 28,0 of 0,0 of 0,0 of 0,1 of 1
Marcos Rogerio de Lima,Waldo Cortes-Acosta,"April 29, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,77%,54%,76 of 95,88 of 156,3 of 7,0 of 1,42%,0%,0,0,0,0,5:01,0:34,20 of 31,54 of 116,11 of 15,18 of 23,28 of 30,10 of 11,56 of 72,79 of 146,2 of 2,3 of 3,1 of 2,0 of 1
